ID VANNE;AFFECTATION;MACHINE;NUM ACTIONNNEUR;ATELIER;NUM CORPS;NUM POSITIONNEUR;FOURNISSEUR  VANNE;Repère;DATE ACHAT;VUE EN;FREQ. REVISION;ORGANE  REGLANT;typeVannes;A VOIR EN;N° COMMANDE
37;Alimentation rapide turbine affinage n°2;Turbines affinage;37;2;37;NULL;2;EV11 03 0714;2009;2016;100;PAPILLON;TOR;2116;0910AR
38;Alimentation rapide turbine de 2ème jet n°1;Turbines de 2ème jet;38;2;38;NULL;2;NULL;2009;2016;10;PAPILLON;TOR;2026;0910AR
39;Alimentation rapide turbine de 2ème jet n°2;Turbines de 2ème jet;39;2;39;NULL;2;NULL;2009;2016;10;PAPILLON;TOR;2026;0910AR
40;Alimentation rapide turbine de 3ème jet n°1;Turbines de 3ème jet;40;2;40;NULL;2;NULL;2009;2019;10;PAPILLON;TOR;2029;0910AR
41;Alimentation rapide turbine de 3ème jet n°2;Turbines de 3ème jet;41;2;41;NULL;2;NULL;2012;2019;10;PAPILLON;TOR;2029;1233AR
42;alimentation très rapide cuite 1er jet n°2;cuites de 1er jet;42;2;42;NULL;10;EV 07 03 0188;1997;2004;100;PAPILLON;TOR;2104;970098 AR
43;alimentation très rapide cuite 1er jet n°3;cuites de 1er jet;43;2;43;NULL;10;EV 07 03 0204;1997;2004;99;PAPILLON;TOR;2103;970098 AR
44;BY PASS MC1 POMPE 2 EVBYPASS2;Cuites de 1er jet;44;2;44;NULL;25;EV1122011,7;2022;2023;15;NULL;TOR;2038;2248AR
45;BY PASS MC1 POMPE 3 EVBYPASS1;Cuites de 1er jet;45;2;45;NULL;2;EV 11 22 011,6;2012;NULL;12;PAPILLON;TOR;2024;1256AR
46;BY PASS MC1 POMPE 3 EVBYPASS3;Cuites de 1er jet;46;2;46;NULL;25;EV1122011;2022;2023;15;NULL;TOR;2038;2248AR
47;By-pass pompe affinage n°1;Turbines affinage;47;2;47;NULL;10;EV 11 03 0728;NULL;2016;100;PAPILLON;REG;2116;NULL
48;By-pass pompe affinage n°2;Turbines affinage;48;2;48;NULL;2;EV 11 03 0729;2003;2016;100;PAPILLON;TOR;2116;030030 AR
49;Casse vide atmosphérique cuite de 1er jet n°1;Cuites de 1er jet;49;2;49;NULL;2;EV 19 22 000.1;2012;2013;12;PAPILLON;TOR;2025;1256AR
50;Casse vide atmosphérique cuite de 1er jet n°2;Cuites de 1er jet;50;2;50;NULL;2;EV 19 22 002.1;2012;2013;12;PAPILLON;TOR;2025;1256AR
51;Casse vide atmosphérique cuite de 1er jet n°3;Cuites de 1er jet;51;2;51;NULL;2;EV 19 22 004.1;2012;2013;12;PAPILLON;TOR;2025;1256AR
52;Casse vide atmosphérique cuite de 1er jet n°4;Cuites de 1er jet;52;2;52;NULL;2;EV 19 22 008.1;2012;2013;12;PAPILLON;TOR;2025;1256AR
